Level,Description,SeriesRefSNDQ,Quarter,Weight,Amount
Industry groups,Agriculture,SG01RSC04B01AA1,1988Q1,0.0499960,1766.785
Industry groups,Forestry and logging,SG01RSC04B01AA2,1988Q1,0.0042006,128.670
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1988Q1,0.0067661,200.597
Industry groups,Mining,SG01RSC04B01BB1,1988Q1,0.0140206,661.950
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1988Q1,0.0564287,1140.911
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1988Q1,0.0140132,302.262
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1988Q1,0.0191522,355.954
Industry groups,Printing,SG01RSC04B01CC4,1988Q1,0.0073460,213.270
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1988Q1,0.0381132,712.469
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1988Q1,0.0060588,174.815
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1988Q1,0.0187164,521.497
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1988Q1,0.0286368,883.324
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1988Q1,0.0054366,186.035
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1988Q1,0.0297694,1120.942
Industry groups,Construction,SG01RSC04B01EE1,1988Q1,0.0500788,1660.553
Industry groups,Wholesale trade,SG01RSC04B01FF1,1988Q1,0.0574564,1520.610
Industry groups,Retail trade,SG01RSC04B01GH1,1988Q1,0.0502522,1160.034
Industry groups,Accommodation services,SG01RSC04B01GH2,1988Q1,0.0169034,672.304
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1988Q1,0.0535779,1040.747
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1988Q1,0.0433400,448.656
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1988Q1,0.0538671,1477.570
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1988Q1,0.0424050,1735.041
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1988Q1,0.0630485,1978.358
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1988Q1,0.0408455,1881.519
Industry groups,Administrative and support services,SG01RSC04B01MN2,1988Q1,0.0120257,521.138
Industry groups,Local Government administration,SG01RSC04B01OO1,1988Q1,0.0063093,201.152
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1988Q1,0.0372983,1176.931
Industry groups,Education and training,SG01RSC04B01PP1,1988Q1,0.0388231,1393.281
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1988Q1,0.0421132,1267.533
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1988Q1,0.0078630,342.261
Industry groups,Other services,SG01RSC04B01RS2,1988Q1,0.0170951,465.322
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1988Q1,0.0680429,1735.040
Industry groups,Agriculture,SG01RSC04B01AA1,1988Q2,0.0512230,1697.943
Industry groups,Forestry and logging,SG01RSC04B01AA2,1988Q2,0.0065686,149.492
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1988Q2,0.0073041,230.955
Industry groups,Mining,SG01RSC04B01BB1,1988Q2,0.0125354,624.084
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1988Q2,0.0569065,1188.737
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1988Q2,0.0115823,294.312
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1988Q2,0.0178904,366.954
Industry groups,Printing,SG01RSC04B01CC4,1988Q2,0.0072324,215.022
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1988Q2,0.0397232,710.640
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1988Q2,0.0059639,183.693
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1988Q2,0.0177585,545.051
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1988Q2,0.0254239,854.060
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1988Q2,0.0049409,176.877
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1988Q2,0.0309242,1084.854
Industry groups,Construction,SG01RSC04B01EE1,1988Q2,0.0468183,1537.610
Industry groups,Wholesale trade,SG01RSC04B01FF1,1988Q2,0.0583804,1467.245
Industry groups,Retail trade,SG01RSC04B01GH1,1988Q2,0.0486346,1137.968
Industry groups,Accommodation services,SG01RSC04B01GH2,1988Q2,0.0154779,659.067
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1988Q2,0.0542121,1057.423
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1988Q2,0.0440380,450.899
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1988Q2,0.0499487,1441.762
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1988Q2,0.0455318,1761.762
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1988Q2,0.0713577,1945.577
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1988Q2,0.0448051,1936.092
Industry groups,Administrative and support services,SG01RSC04B01MN2,1988Q2,0.0127790,533.075
Industry groups,Local Government administration,SG01RSC04B01OO1,1988Q2,0.0070176,205.967
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1988Q2,0.0385776,1170.425
Industry groups,Education and training,SG01RSC04B01PP1,1988Q2,0.0394615,1400.536
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1988Q2,0.0425844,1316.513
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1988Q2,0.0087499,334.820
Industry groups,Other services,SG01RSC04B01RS2,1988Q2,0.0168296,449.926
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1988Q2,0.0588185,1716.196
Industry groups,Agriculture,SG01RSC04B01AA1,1988Q3,0.0512230,1629.668
Industry groups,Forestry and logging,SG01RSC04B01AA2,1988Q3,0.0065686,155.138
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1988Q3,0.0073041,240.994
Industry groups,Mining,SG01RSC04B01BB1,1988Q3,0.0125354,588.109
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1988Q3,0.0569065,1120.477
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1988Q3,0.0115823,297.306
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1988Q3,0.0178904,359.284
Industry groups,Printing,SG01RSC04B01CC4,1988Q3,0.0072324,218.235
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1988Q3,0.0397232,740.491
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1988Q3,0.0059639,169.344
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1988Q3,0.0177585,553.848
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1988Q3,0.0254239,881.151
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1988Q3,0.0049409,174.708
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1988Q3,0.0309242,1087.449
Industry groups,Construction,SG01RSC04B01EE1,1988Q3,0.0468183,1538.753
Industry groups,Wholesale trade,SG01RSC04B01FF1,1988Q3,0.0583804,1519.964
Industry groups,Retail trade,SG01RSC04B01GH1,1988Q3,0.0486346,1162.064
Industry groups,Accommodation services,SG01RSC04B01GH2,1988Q3,0.0154779,657.107
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1988Q3,0.0542121,1067.839
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1988Q3,0.0440380,449.755
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1988Q3,0.0499487,1436.139
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1988Q3,0.0455318,1762.471
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1988Q3,0.0713577,1915.919
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1988Q3,0.0448051,1910.067
Industry groups,Administrative and support services,SG01RSC04B01MN2,1988Q3,0.0127790,531.187
Industry groups,Local Government administration,SG01RSC04B01OO1,1988Q3,0.0070176,211.834
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1988Q3,0.0385776,1145.593
Industry groups,Education and training,SG01RSC04B01PP1,1988Q3,0.0394615,1409.327
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1988Q3,0.0425844,1326.341
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1988Q3,0.0087499,317.394
Industry groups,Other services,SG01RSC04B01RS2,1988Q3,0.0168296,454.737
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1988Q3,0.0588185,1738.003
Industry groups,Agriculture,SG01RSC04B01AA1,1988Q4,0.0512230,1520.272
Industry groups,Forestry and logging,SG01RSC04B01AA2,1988Q4,0.0065686,158.893
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1988Q4,0.0073041,236.793
Industry groups,Mining,SG01RSC04B01BB1,1988Q4,0.0125354,437.239
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1988Q4,0.0569065,1109.902
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1988Q4,0.0115823,301.438
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1988Q4,0.0178904,340.445
Industry groups,Printing,SG01RSC04B01CC4,1988Q4,0.0072324,209.166
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1988Q4,0.0397232,743.748
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1988Q4,0.0059639,160.764
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1988Q4,0.0177585,538.122
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1988Q4,0.0254239,849.437
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1988Q4,0.0049409,169.171
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1988Q4,0.0309242,1127.211
Industry groups,Construction,SG01RSC04B01EE1,1988Q4,0.0468183,1506.704
Industry groups,Wholesale trade,SG01RSC04B01FF1,1988Q4,0.0583804,1592.269
Industry groups,Retail trade,SG01RSC04B01GH1,1988Q4,0.0486346,1158.155
Industry groups,Accommodation services,SG01RSC04B01GH2,1988Q4,0.0154779,652.918
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1988Q4,0.0542121,1050.655
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1988Q4,0.0440380,450.727
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1988Q4,0.0499487,1462.409
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1988Q4,0.0455318,1780.223
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1988Q4,0.0713577,1887.729
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1988Q4,0.0448051,1900.547
Industry groups,Administrative and support services,SG01RSC04B01MN2,1988Q4,0.0127790,531.452
Industry groups,Local Government administration,SG01RSC04B01OO1,1988Q4,0.0070176,217.229
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1988Q4,0.0385776,1142.909
Industry groups,Education and training,SG01RSC04B01PP1,1988Q4,0.0394615,1419.231
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1988Q4,0.0425844,1340.141
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1988Q4,0.0087499,314.705
Industry groups,Other services,SG01RSC04B01RS2,1988Q4,0.0168296,450.410
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1988Q4,0.0588185,1768.009
Industry groups,Agriculture,SG01RSC04B01AA1,1989Q1,0.0512230,1469.150
Industry groups,Forestry and logging,SG01RSC04B01AA2,1989Q1,0.0065686,169.905
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1989Q1,0.0073041,245.794
Industry groups,Mining,SG01RSC04B01BB1,1989Q1,0.0125354,664.124
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1989Q1,0.0569065,1105.066
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1989Q1,0.0115823,298.178
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1989Q1,0.0178904,341.895
Industry groups,Printing,SG01RSC04B01CC4,1989Q1,0.0072324,208.508
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1989Q1,0.0397232,803.915
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1989Q1,0.0059639,162.509
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1989Q1,0.0177585,559.526
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1989Q1,0.0254239,873.915
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1989Q1,0.0049409,160.343
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1989Q1,0.0309242,1093.446
Industry groups,Construction,SG01RSC04B01EE1,1989Q1,0.0468183,1522.122
Industry groups,Wholesale trade,SG01RSC04B01FF1,1989Q1,0.0583804,1668.257
Industry groups,Retail trade,SG01RSC04B01GH1,1989Q1,0.0486346,1165.427
Industry groups,Accommodation services,SG01RSC04B01GH2,1989Q1,0.0154779,647.381
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1989Q1,0.0542121,1027.573
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1989Q1,0.0440380,458.475
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1989Q1,0.0499487,1455.241
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1989Q1,0.0455318,1765.221
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1989Q1,0.0713577,1862.448
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1989Q1,0.0448051,1949.273
Industry groups,Administrative and support services,SG01RSC04B01MN2,1989Q1,0.0127790,544.275
Industry groups,Local Government administration,SG01RSC04B01OO1,1989Q1,0.0070176,220.563
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1989Q1,0.0385776,1158.092
Industry groups,Education and training,SG01RSC04B01PP1,1989Q1,0.0394615,1430.649
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1989Q1,0.0425844,1367.110
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1989Q1,0.0087499,333.946
Industry groups,Other services,SG01RSC04B01RS2,1989Q1,0.0168296,469.115
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1989Q1,0.0588185,1849.437
Industry groups,Agriculture,SG01RSC04B01AA1,1989Q2,0.0533860,1405.048
Industry groups,Forestry and logging,SG01RSC04B01AA2,1989Q2,0.0068865,167.968
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1989Q2,0.0074142,242.402
Industry groups,Mining,SG01RSC04B01BB1,1989Q2,0.0120160,480.232
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1989Q2,0.0562192,1068.245
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1989Q2,0.0119892,313.793
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1989Q2,0.0190756,350.831
Industry groups,Printing,SG01RSC04B01CC4,1989Q2,0.0071954,214.363
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1989Q2,0.0377425,805.932
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1989Q2,0.0055041,166.736
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1989Q2,0.0195566,562.536
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1989Q2,0.0239928,903.040
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1989Q2,0.0049279,168.706
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1989Q2,0.0311955,1132.302
Industry groups,Construction,SG01RSC04B01EE1,1989Q2,0.0476383,1636.486
Industry groups,Wholesale trade,SG01RSC04B01FF1,1989Q2,0.0522401,1668.656
Industry groups,Retail trade,SG01RSC04B01GH1,1989Q2,0.0467609,1226.630
Industry groups,Accommodation services,SG01RSC04B01GH2,1989Q2,0.0154254,654.854
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1989Q2,0.0536872,1031.226
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1989Q2,0.0404773,475.465
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1989Q2,0.0472555,1399.530
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1989Q2,0.0478143,1808.708
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1989Q2,0.0728304,1840.335
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1989Q2,0.0442026,1966.592
Industry groups,Administrative and support services,SG01RSC04B01MN2,1989Q2,0.0124781,539.028
Industry groups,Local Government administration,SG01RSC04B01OO1,1989Q2,0.0072256,227.729
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1989Q2,0.0393886,1160.710
Industry groups,Education and training,SG01RSC04B01PP1,1989Q2,0.0399625,1443.689
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1989Q2,0.0408506,1323.977
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1989Q2,0.0088215,319.262
Industry groups,Other services,SG01RSC04B01RS2,1989Q2,0.0164347,472.610
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1989Q2,0.0694051,1909.433
Industry groups,Agriculture,SG01RSC04B01AA1,1989Q3,0.0533860,1409.825
Industry groups,Forestry and logging,SG01RSC04B01AA2,1989Q3,0.0068865,174.860
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1989Q3,0.0074142,246.427
Industry groups,Mining,SG01RSC04B01BB1,1989Q3,0.0120160,534.156
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1989Q3,0.0562192,1054.439
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1989Q3,0.0119892,303.605
